mutant,cell.type,n.degs,tissue
mafba-mut,endothelium (dorsal aorta),7,Endothelial
mafba-mut,floor plate,7,Central Nervous System
mafba-mut,ionocyte-goblet cell,7,Epidermis
mafba-mut,mesodermal progenitor cells (contains PSM),7,Paraxial Mesoderm
mafba-mut,neural tube-like connective tissue (+ taste bud),7,Connective Tissue
mafba-mut,pharyngeal arch (NC-derived),7,Pharyngeal Arch
mafba-mut,differentiating neuron (hindbrain),6,Central Nervous System
mafba-mut,"neurons (differentiating, contains peripheral)",6,Central Nervous System
mafba-mut,cranial muscle (early),5,Pharyngeal Arch
mafba-mut,"cranial muscle (non-somitic, fast-twitch)",5,Muscle
mafba-mut,dorsal spinal cord neuron,5,Central Nervous System
mafba-mut,pectoral fin bud (osteoblast+),5,Fin
mafba-mut,periocular mesenchyme,5,Head Mesoderm
mafba-mut,support cells-otic vesicle,5,Ear
mafba-mut,anterior migratory muscle,4,Muscle
mafba-mut,cranial muscle (mid),4,Pharyngeal Arch
mafba-mut,myeloid cell,4,Blood
mafba-mut,"neuron (cranial ganglia sensory, Rohon-Beard)",4,Peripheral Nervous System
mafba-mut,"neurons (gabaergic, glutamatergic; contains Purkinje)",4,Central Nervous System
mafba-mut,pancreas,4,Pancreas
mafba-mut,"pharyngeal arch (contains muscle, early cartilage)",4,Pharyngeal Arch
mafba-mut,pronephric podocyte,4,Kidney
mafba-mut,slow-committed myocyte,4,Muscle
mafba-mut,cranial muscle (late),3,Muscle
mafba-mut,cranial muscle (progenitor),3,Pharyngeal Arch
mafba-mut,differentiating neuron 1,3,Central Nervous System
mafba-mut,"endothelium (f8+, clic2+)",3,Endothelial
mafba-mut,jaw chondrocyte,3,Pharyngeal Arch
mafba-mut,KA neuron,3,Central Nervous System
mafba-mut,liver,3,Liver
mafba-mut,neural progenitor (telencephalon-diencephalon),3,Central Nervous System
mafba-mut,neuromast support cell,3,Lateral Line
mafba-mut,"neurons (gabaergic, glutamatergic)",3,Central Nervous System
mafba-mut,pronephric duct,3,Kidney
mafba-mut,adrenal gland,2,Endocrine
mafba-mut,chondrocranium,2,Pharyngeal Arch
mafba-mut,differentiating neuron 2,2,Central Nervous System
mafba-mut,glia,2,Central Nervous System
mafba-mut,glia,2,CNS/Neural crest
mafba-mut,myoblast,2,Muscle
mafba-mut,neuron (+ spinal cord),2,Central Nervous System
mafba-mut,"neuron (cranial ganglia sensory, Rohon-Beard)",2,Peripheral Nervous System
mafba-mut,"neuron (telencephalon, glutamatergic)",2,Central Nervous System
mafba-mut,posterior lateral line primordium,2,Lateral Line
mafba-mut,posterior spinal cord progenitors,2,Central Nervous System
mafba-mut,"roof plate, flexural + subcommissural organ",2,Central Nervous System
mafba-mut,fin bud mesoderm (pectoral),1,Fin
mafba-mut,hair cell,1,Lateral Line
mafba-mut,iridophore,1,Pigment
mafba-mut,motor neuron,1,Central Nervous System
mafba-mut,olfactory vesicle-bulb,1,Olfactory
mafba-mut,primordial germ cell,1,Germ Line
mafba-mut,"unknown (dcn+, col6+)",1,Muscle
met,periderm,238,Epidermis
met,satellite cells,159,Muscle
met,hatching gland,118,Hatching Gland
met,mesodermal progenitor cells (contains PSM),97,Paraxial Mesoderm
met,thyroid follicle cell,45,Endocrine
met,mature fast muscle,44,Muscle
met,connective tissue-meninges-dermal FB,17,Connective Tissue
met,"neurons (gabaergic, glutamatergic)",17,Central Nervous System
met,mature slow muscle,16,Muscle
met,basal cell,15,Connective Tissue
met,basal cell,15,Epidermis
met,fast-committed myocyte,14,Muscle
met,fin fold,13,Fin
met,dorsal spinal cord neuron,11,Central Nervous System
met,osteoblast,11,Bone
met,endothelium (vein + early artery),9,Endothelial
met,"neurons (differentiating, contains peripheral)",9,Central Nervous System
met,cranial muscle (mid),8,Pharyngeal Arch
met,differentiating neuron (hindbrain),8,Central Nervous System
met,"head mesenchyme (maybe ventral, hand2+)",8,Pharyngeal Arch
met,olfactory vesicle-bulb,8,Olfactory
met,retinal neuron,8,Eye
met,anterior migratory muscle,7,Muscle
met,notochord,7,Notochord
met,"pharyngeal arch (contains muscle, early cartilage)",7,Pharyngeal Arch
met,"unknown (dcn+, col6+)",7,Muscle
met,cardiomyocyte,6,Heart
met,"eye, optic cup",6,Eye
met,intestine,6,Intestine
met,lens,6,Eye
met,melanophore,6,Epidermis
met,pharyngeal arch (NC-derived),6,Pharyngeal Arch
met,fin bud mesoderm (pectoral),5,Fin
met,"neurons (gabaergic, glutamatergic; contains Purkinje)",5,Central Nervous System
met,pronephric podocyte,5,Kidney
met,pronephros proximal tubule,5,Kidney
met,endothelium (dorsal aorta),4,Endothelial
met,glia,4,Central Nervous System
met,glia,4,CNS/Neural crest
met,hair cell,4,Lateral Line
met,head mesenchyme,4,Pharyngeal Arch
met,head mesenchyme-PA cartilage,4,Pharyngeal Arch
met,head-eye connective tissue,4,Connective Tissue
met,ionocyte-goblet cell,4,Epidermis
met,liver,4,Liver
met,pancreas,4,Pancreas
met,pronephros distal tubule,4,Kidney
met,xanthophore,4,Epidermis
met,differentiating neuron 1,3,Central Nervous System
met,differentiating neuron 2,3,Central Nervous System
met,floor plate,3,Central Nervous System
met,neural progenitor (hindbrain),3,Central Nervous System
met,neural progenitor (telencephalon-diencephalon),3,Central Nervous System
met,neural tube-like connective tissue (+ taste bud),3,Connective Tissue
met,pharyngeal arch (early),3,Pharyngeal Arch
met,posterior spinal cord progenitors,3,Central Nervous System
met,chondrocranium,2,Pharyngeal Arch
met,contains head vasculature?,2,Connective Tissue
met,cranial neural crest,2,Cranial NC
met,neural progenitor (hindbrain R7-8),2,Central Nervous System
met,"neuron (cranial ganglia sensory, Rohon-Beard)",2,Peripheral Nervous System
met,retinal pigmented epithelium (early),2,Eye
met,support cells-otic vesicle,2,Ear
met,adrenal gland,1,Endocrine
met,cranial muscle (late),1,Muscle
met,cranial muscle (progenitor),1,Pharyngeal Arch
met,"endothelium (f8+, clic2+)",1,Endothelial
met,hypochord,1,Hypochord
met,hypophysis-locus coeruleus,1,Central Nervous System
met,iridophore,1,Pigment
met,jaw chondrocyte,1,Pharyngeal Arch
met,KA neuron,1,Central Nervous System
met,motor neuron,1,Central Nervous System
met,myeloid cell,1,Blood
met,neural progenitor (MHB),1,Central Nervous System
met,neuron (+ spinal cord),1,Central Nervous System
met,periocular mesenchyme,1,Head Mesoderm
met,pharynx,1,Pharynx
met,posterior lateral line primordium,1,Lateral Line
met,primordial germ cell,1,Germ Line
met,"roof plate, flexural + subcommissural organ",1,Central Nervous System
met-mut,contains head vasculature?,566,Connective Tissue
met-mut,mature fast muscle,28,Muscle
met-mut,periderm,27,Epidermis
met-mut,"neurons (differentiating, contains peripheral)",23,Central Nervous System
met-mut,connective tissue-meninges-dermal FB,21,Connective Tissue
met-mut,basal cell,15,Connective Tissue
met-mut,basal cell,15,Epidermis
met-mut,melanophore,10,Epidermis
met-mut,"neurons (gabaergic, glutamatergic)",9,Central Nervous System
met-mut,satellite cells,7,Muscle
met-mut,fin fold,5,Fin
met-mut,hatching gland,5,Hatching Gland
met-mut,chondrocranium,4,Pharyngeal Arch
met-mut,"eye, optic cup",4,Eye
met-mut,neural tube-like connective tissue (+ taste bud),4,Connective Tissue
met-mut,cranial muscle (early),3,Pharyngeal Arch
met-mut,jaw chondrocyte,3,Pharyngeal Arch
met-mut,mature slow muscle,3,Muscle
met-mut,support cells-otic vesicle,3,Ear
met-mut,cardiomyocyte,2,Heart
met-mut,cranial muscle (late),2,Muscle
met-mut,cranial muscle (mid),2,Pharyngeal Arch
met-mut,differentiating neuron 1,2,Central Nervous System
met-mut,endothelium (dorsal aorta),2,Endothelial
met-mut,endothelium (vein + early artery),2,Endothelial
met-mut,"head mesenchyme (maybe ventral, hand2+)",2,Pharyngeal Arch
met-mut,intestine,2,Intestine
met-mut,neuromast support cell,2,Lateral Line
met-mut,"neuron (cranial ganglia sensory, Rohon-Beard)",2,Peripheral Nervous System
met-mut,"neurons (gabaergic, glutamatergic; contains Purkinje)",2,Central Nervous System
met-mut,notochord,2,Notochord
met-mut,"pharyngeal arch (contains muscle, early cartilage)",2,Pharyngeal Arch
met-mut,pharyngeal arch (early),2,Pharyngeal Arch
met-mut,xanthophore,2,Epidermis
met-mut,anterior migratory muscle,1,Muscle
met-mut,differentiating neuron (hindbrain),1,Central Nervous System
met-mut,differentiating neuron 2,1,Central Nervous System
met-mut,floor plate,1,Central Nervous System
met-mut,hair cell,1,Lateral Line
met-mut,head mesenchyme-PA cartilage,1,Pharyngeal Arch
met-mut,iridophore,1,Pigment
met-mut,myeloid cell,1,Blood
met-mut,pronephric duct,1,Kidney
met-mut,pronephros distal tubule,1,Kidney
met-mut,retinal neuron,1,Eye
met-mut,retinal pigmented epithelium (early),1,Eye
met-mut,"unknown (dcn+, col6+)",1,Muscle
noto,jaw chondrocyte,340,Pharyngeal Arch
noto,mature fast muscle,120,Muscle
noto,adrenal gland,69,Endocrine
noto,basal cell,39,Connective Tissue
noto,basal cell,39,Epidermis
noto,periderm,39,Epidermis
noto,fin fold,30,Fin
noto,fast-committed myocyte,19,Muscle
noto,mature slow muscle,18,Muscle
noto,connective tissue-meninges-dermal FB,15,Connective Tissue
noto,neural progenitor (hindbrain),13,Central Nervous System
noto,head mesenchyme,12,Pharyngeal Arch
noto,anterior migratory muscle,11,Muscle
noto,"eye, optic cup",11,Eye
noto,pharyngeal arch (early),11,Pharyngeal Arch
noto,pronephros distal tubule,9,Kidney
noto,cranial muscle (early),8,Pharyngeal Arch
noto,neural progenitor (telencephalon-diencephalon),8,Central Nervous System
noto,head-eye connective tissue,7,Connective Tissue
noto,neural progenitor (MHB),7,Central Nervous System
noto,fin mesenchyme,6,Fin
noto,neural tube-like connective tissue (+ taste bud),6,Connective Tissue
noto,notochord,6,Notochord
noto,pronephros proximal tubule,5,Kidney
noto,slow-committed myocyte,5,Muscle
noto,cranial muscle (progenitor),4,Pharyngeal Arch
noto,mesodermal progenitor cells (contains PSM),4,Paraxial Mesoderm
noto,pharyngeal arch (NC-derived),4,Pharyngeal Arch
noto,cranial muscle (mid),3,Pharyngeal Arch
noto,differentiating neuron 1,3,Central Nervous System
noto,endothelium (vein + early artery),3,Endothelial
noto,floor plate,3,Central Nervous System
noto,hatching gland,3,Hatching Gland
noto,"head mesenchyme (maybe ventral, hand2+)",3,Pharyngeal Arch
noto,neural progenitor (hindbrain R7-8),3,Central Nervous System
noto,"neurons (gabaergic, glutamatergic)",3,Central Nervous System
noto,pancreas,3,Pancreas
noto,"pharyngeal arch (contains muscle, early cartilage)",3,Pharyngeal Arch
noto,pharynx,3,Pharynx
noto,support cells-otic vesicle,3,Ear
noto,endothelium (dorsal aorta),2,Endothelial
noto,"endothelium (f8+, clic2+)",2,Endothelial
noto,hypochord,2,Hypochord
noto,intestine,2,Intestine
noto,myeloid cell,2,Blood
noto,neuron (+ spinal cord),2,Central Nervous System
noto,"neuron (telencephalon, glutamatergic)",2,Central Nervous System
noto,"neurons (differentiating, contains peripheral)",2,Central Nervous System
noto,"neurons (gabaergic, glutamatergic; contains Purkinje)",2,Central Nervous System
noto,posterior spinal cord progenitors,2,Central Nervous System
noto,red blood cell,2,Blood
noto,thyroid follicle cell,2,Endocrine
noto,contains head vasculature?,1,Connective Tissue
noto,cranial muscle (late),1,Muscle
noto,"cranial muscle (non-somitic, fast-twitch)",1,Muscle
noto,differentiating neuron (hindbrain),1,Central Nervous System
noto,dorsal spinal cord neuron,1,Central Nervous System
noto,glia,1,Central Nervous System
noto,glia,1,CNS/Neural crest
noto,head mesenchyme-PA cartilage,1,Pharyngeal Arch
noto,hypophysis-locus coeruleus,1,Central Nervous System
noto,iridophore,1,Pigment
noto,liver,1,Liver
noto,melanophore,1,Epidermis
noto,motor neuron,1,Central Nervous System
noto,myoblast,1,Muscle
noto,neural crest + pigment cell progenitor,1,Pigment
noto,neuromast support cell,1,Lateral Line
noto,primordial germ cell,1,Germ Line
noto,pronephric duct,1,Kidney
noto,retinal neuron,1,Eye
noto,retinal pigmented epithelium (early),1,Eye
noto,"roof plate, flexural + subcommissural organ",1,Central Nervous System
noto,satellite cells,1,Muscle
noto,xanthophore,1,Epidermis
noto-mut,mature fast muscle,682,Muscle
noto-mut,periderm,567,Epidermis
noto-mut,basal cell,302,Connective Tissue
noto-mut,basal cell,302,Epidermis
noto-mut,mature slow muscle,235,Muscle
noto-mut,neural progenitor (hindbrain),212,Central Nervous System
noto-mut,anterior migratory muscle,175,Muscle
noto-mut,fast-committed myocyte,172,Muscle
noto-mut,connective tissue-meninges-dermal FB,163,Connective Tissue
noto-mut,head mesenchyme,123,Pharyngeal Arch
noto-mut,fin mesenchyme,103,Fin
noto-mut,neural progenitor (hindbrain R7-8),85,Central Nervous System
noto-mut,"head mesenchyme (maybe ventral, hand2+)",81,Pharyngeal Arch
noto-mut,hatching gland,78,Hatching Gland
noto-mut,"eye, optic cup",60,Eye
noto-mut,head-eye connective tissue,58,Connective Tissue
noto-mut,mesodermal progenitor cells (contains PSM),57,Paraxial Mesoderm
noto-mut,"pharyngeal arch (contains muscle, early cartilage)",56,Pharyngeal Arch
noto-mut,pharyngeal arch (early),50,Pharyngeal Arch
noto-mut,fin fold,47,Fin
noto-mut,neural progenitor (MHB),47,Central Nervous System
noto-mut,neural progenitor (telencephalon-diencephalon),43,Central Nervous System
noto-mut,pharyngeal arch (NC-derived),42,Pharyngeal Arch
noto-mut,xanthophore,41,Epidermis
noto-mut,melanophore,36,Epidermis
noto-mut,pronephros proximal tubule,30,Kidney
noto-mut,retinal pigmented epithelium (early),30,Eye
noto-mut,endothelium (dorsal aorta),29,Endothelial
noto-mut,intestine,27,Intestine
noto-mut,endothelium (vein + early artery),26,Endothelial
noto-mut,"neurons (gabaergic, glutamatergic)",25,Central Nervous System
noto-mut,"unknown (dcn+, col6+)",25,Muscle
noto-mut,floor plate,24,Central Nervous System
noto-mut,neural tube-like connective tissue (+ taste bud),24,Connective Tissue
noto-mut,glia,22,Central Nervous System
noto-mut,glia,22,CNS/Neural crest
noto-mut,head mesenchyme-PA cartilage,22,Pharyngeal Arch
noto-mut,pectoral fin bud (osteoblast+),22,Fin
noto-mut,"neurons (differentiating, contains peripheral)",21,Central Nervous System
noto-mut,contains head vasculature?,20,Connective Tissue
noto-mut,pancreas,19,Pancreas
noto-mut,pronephros distal tubule,19,Kidney
noto-mut,"cranial muscle (non-somitic, fast-twitch)",18,Muscle
noto-mut,myeloid cell,18,Blood
noto-mut,adrenal gland,16,Endocrine
noto-mut,neural crest + pigment cell progenitor,16,Pigment
noto-mut,"neurons (gabaergic, glutamatergic; contains Purkinje)",15,Central Nervous System
noto-mut,lens,14,Eye
noto-mut,cranial muscle (early),13,Pharyngeal Arch
noto-mut,myoblast,13,Muscle
noto-mut,retinal neuron,13,Eye
noto-mut,cranial neural crest,12,Cranial NC
noto-mut,cardiomyocyte,11,Heart
noto-mut,support cells-otic vesicle,11,Ear
noto-mut,cranial muscle (progenitor),10,Pharyngeal Arch
noto-mut,differentiating neuron 1,10,Central Nervous System
noto-mut,neuromast support cell,10,Lateral Line
noto-mut,notochord,10,Notochord
noto-mut,pronephric podocyte,10,Kidney
noto-mut,ionocyte-goblet cell,9,Epidermis
noto-mut,posterior spinal cord progenitors,9,Central Nervous System
noto-mut,red blood cell,9,Blood
noto-mut,cranial muscle (mid),8,Pharyngeal Arch
noto-mut,differentiating neuron (hindbrain),7,Central Nervous System
noto-mut,liver,7,Liver
noto-mut,satellite cells,7,Muscle
noto-mut,dorsal spinal cord neuron,6,Central Nervous System
noto-mut,neuron (+ spinal cord),5,Central Nervous System
noto-mut,chondrocranium,4,Pharyngeal Arch
noto-mut,hypochord,4,Hypochord
noto-mut,iridophore,4,Pigment
noto-mut,motor neuron,4,Central Nervous System
noto-mut,"neuron (cranial ganglia sensory, Rohon-Beard)",4,Peripheral Nervous System
noto-mut,"neuron (cranial ganglia sensory, Rohon-Beard)",4,Peripheral Nervous System
noto-mut,periocular mesenchyme,4,Head Mesoderm
noto-mut,pronephric duct,4,Kidney
noto-mut,cranial muscle (late),3,Muscle
noto-mut,"endothelium (f8+, clic2+)",3,Endothelial
noto-mut,"roof plate, flexural + subcommissural organ",3,Central Nervous System
noto-mut,slow-committed myocyte,3,Muscle
noto-mut,fin bud mesoderm (pectoral),2,Fin
noto-mut,hypophysis-locus coeruleus,2,Central Nervous System
noto-mut,KA neuron,2,Central Nervous System
noto-mut,"neuron (telencephalon, glutamatergic)",2,Central Nervous System
noto-mut,osteoblast,2,Bone
noto-mut,posterior lateral line primordium,2,Lateral Line
noto-mut,primordial germ cell,2,Germ Line
noto-mut,differentiating neuron 2,1,Central Nervous System
noto-mut,jaw chondrocyte,1,Pharyngeal Arch
noto-mut,pharynx,1,Pharynx
noto-mut,thyroid follicle cell,1,Endocrine
phox2a,mature fast muscle,24,Muscle
phox2a,periderm,23,Epidermis
phox2a,cranial muscle (mid),17,Pharyngeal Arch
phox2a,fin fold,13,Fin
phox2a,notochord,12,Notochord
phox2a,retinal neuron,9,Eye
phox2a,hatching gland,8,Hatching Gland
phox2a,connective tissue-meninges-dermal FB,7,Connective Tissue
phox2a,mature slow muscle,7,Muscle
phox2a,neural tube-like connective tissue (+ taste bud),7,Connective Tissue
phox2a,basal cell,6,Connective Tissue
phox2a,basal cell,6,Epidermis
phox2a,dorsal spinal cord neuron,5,Central Nervous System
phox2a,endothelium (vein + early artery),5,Endothelial
phox2a,"pharyngeal arch (contains muscle, early cartilage)",5,Pharyngeal Arch
phox2a,fast-committed myocyte,4,Muscle
phox2a,intestine,4,Intestine
phox2a,"neuron (cranial ganglia sensory, Rohon-Beard)",4,Peripheral Nervous System
phox2a,pectoral fin bud (osteoblast+),4,Fin
phox2a,pronephros proximal tubule,4,Kidney
phox2a,"unknown (dcn+, col6+)",4,Muscle
phox2a,"head mesenchyme (maybe ventral, hand2+)",3,Pharyngeal Arch
phox2a,neural progenitor (hindbrain R7-8),3,Central Nervous System
phox2a,pronephric duct,3,Kidney
phox2a,satellite cells,3,Muscle
phox2a,thyroid follicle cell,3,Endocrine
phox2a,anterior migratory muscle,2,Muscle
phox2a,cranial muscle (progenitor),2,Pharyngeal Arch
phox2a,endothelium (dorsal aorta),2,Endothelial
phox2a,glia,2,Central Nervous System
phox2a,glia,2,CNS/Neural crest
phox2a,head mesenchyme,2,Pharyngeal Arch
phox2a,hypochord,2,Hypochord
phox2a,ionocyte-goblet cell,2,Epidermis
phox2a,liver,2,Liver
phox2a,melanophore,2,Epidermis
phox2a,"neurons (gabaergic, glutamatergic; contains Purkinje)",2,Central Nervous System
phox2a,"neurons (gabaergic, glutamatergic)",2,Central Nervous System
phox2a,pharyngeal arch (early),2,Pharyngeal Arch
phox2a,pronephric podocyte,2,Kidney
phox2a,cardiomyocyte,1,Heart
phox2a,chondrocranium,1,Pharyngeal Arch
phox2a,contains head vasculature?,1,Connective Tissue
phox2a,cranial muscle (early),1,Pharyngeal Arch
phox2a,cranial neural crest,1,Cranial NC
phox2a,"endothelium (f8+, clic2+)",1,Endothelial
phox2a,fin bud mesoderm (pectoral),1,Fin
phox2a,fin mesenchyme,1,Fin
phox2a,floor plate,1,Central Nervous System
phox2a,hypophysis-locus coeruleus,1,Central Nervous System
phox2a,iridophore,1,Pigment
phox2a,lens,1,Eye
phox2a,motor neuron,1,Central Nervous System
phox2a,neural progenitor (hindbrain),1,Central Nervous System
phox2a,"neuron (cranial ganglia sensory, Rohon-Beard)",1,Peripheral Nervous System
phox2a,periocular mesenchyme,1,Head Mesoderm
phox2a,pharynx,1,Pharynx
phox2a,posterior lateral line primordium,1,Lateral Line
phox2a,primordial germ cell,1,Germ Line
phox2a,pronephros distal tubule,1,Kidney
phox2a,xanthophore,1,Epidermis
smo,mature fast muscle,244,Muscle
smo,fast-committed myocyte,118,Muscle
smo,head mesenchyme,114,Pharyngeal Arch
smo,retinal pigmented epithelium (early),111,Eye
smo,anterior migratory muscle,104,Muscle
smo,basal cell,100,Connective Tissue
smo,basal cell,100,Epidermis
smo,neural progenitor (hindbrain),86,Central Nervous System
smo,periderm,75,Epidermis
smo,"eye, optic cup",65,Eye
smo,neural progenitor (telencephalon-diencephalon),56,Central Nervous System
smo,neural progenitor (hindbrain R7-8),47,Central Nervous System
smo,fin fold,46,Fin
smo,mature slow muscle,44,Muscle
